#OTU ID	LD.73	LD.11	LD.26	HD.61	LD.61	LD.77	LD.88	LD.63	LD.5	HD.65	LD.52	HD.50	LD.22	LD.76	LD.20	LD.19	LD.85	LD.69	HD.75	LD.66	HD.77	HD.11	LD.72	LD.92	HD.69	LD.94	LD.90	HD.20	HD.5	HD.83	HD.8	HD.22	LD.34	HD.73	HD.23	HD.62	LD.78	LD.97	HD.67	LD.81	LD.89	HD.79	LD.95	LD.59	LD.1	HD.63	LD.68	HD.48	LD.74	HD.1	HD.56	HD.53	LD.38	HD.12	HD.81	LD.39	HD.31	LD.91	LD.15	HD.80	LD.54	HD.60	HD.70	LD.42	HD.28	LD.80	LD.37	HD.35	HD.64	LD.75	LD.43	LD.58	LD.51	HD.32	LD.8	HD.7	HD.29	HD.72	HD.4	LD.35	HD.41	LD.57	HD.10	LD.53	HD.82	LD.17	LD.29	LD.3	HD.30	LD.60	HD.9	HD.68	LD.46	LD.41	LD.62	HD.42	HD.58	HD.46	LD.7	LD.93	LD.86	HD.36	HD.2	LD.96	HD.27	LD.14	HD.78	HD.34	HD.52	HD.40	LD.12	LD.84	HD.66	HD.24	HD.71	LD.83	LD.82	HD.21	LD.44	LD.23	HD.74	HD.76	LD.50	LD.79	LD.4	HD.33	LD.9	HD.51	HD.26	HD.14
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_tanakaei	2	18	6	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	2	0	0	0	674	2	0	16	0	0	2	0	0	6	0	0	2	0	8	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	2	0	0	0	0	0	228	0	32	0	6	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	76	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium;s__Coriobacterium_glomerans;t__Coriobacterium_glomerans_PW2	4	2	10	0	0	0	0	0	2	0	0	0	0	42	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	8	2	0	0	0	8	0	0	0	2	0	0	0	0	2	0	0	0	0	2	8	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	2	6	0	0	2	2	0	2	0	2	0	0	0	0	2	0	2	0	2	2	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium;s__Coriobacterium_glomerans	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Senegalimassilia;s__Senegalimassilia_anaerobia	0	12	6	6	0	0	4	0	0	2	4	2	8	14	0	4	2	0	2	0	2	10	0	0	4	0	0	0	4	4	226	0	0	0	16	8	2	4	24	6	0	4	0	20	4	6	4	0	10	2	52	2	2	4	0	0	0	0	2	0	10	6	0	0	4	0	0	244	0	12	2	0	0	0	0	2	10	0	0	34	10	0	0	0	4	0	0	2	4	32	44	0	18	0	0	0	6	0	2	0	70	10	2	0	4	2	0	2	6	348	0	6	18	0	0	2	0	0	0	6	2	0	34	0	0	42	0	4	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Cryptobacterium;s__Cryptobacterium_curtum;t__Cryptobacterium_curtum_DSM_15641	2	0	0	0	2	20	0	88	38	0	0	2	0	4	0	4	10	0	0	2	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	6	0	0	0	0	0	0	0	0	0	6	8	0	10	0	0	12	0	0	0	0	0	0	0	0	0	28	0	0	0	2	0	0	2	0	0	0	0	0	0	6	0	0	0	4	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0	6	30	0	0	4	0	0	0	0	0	0	0	4	0	0	0	2	6	0	4	0	2	2	0	156	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia_equolifaciens	0	0	104	0	0	0	2	0	0	44	0	0	4	0	0	0	0	0	50	0	12	108	0	0	2	2	0	0	74	24	56	16	0	32	10	56	0	16	10	0	0	2	4	0	0	346	2	28	160	0	68	14	20	68	30	0	326	0	2	0	0	226	0	2	0	0	0	386	0	0	0	0	0	98	0	2	198	54	24	2818	42	0	0	0	0	0	0	6	0	2	48	0	4	18	0	18	66	0	0	6	2	342	26	0	68	42	10	42	64	226	0	0	2	0	44	0	16	0	2	6	32	0	0	0	0	14	0	20	64	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Senegalimassilia;s__Senegalimassilia_anaerobia;t__Senegalimassilia_anaerobia_JC110	10	44	32	6	0	0	12	0	0	2	48	2	18	170	4	68	74	6	4	0	4	24	4	2	6	2	0	2	26	14	2326	0	4	4	40	22	2	38	158	6	0	2	12	40	2	18	10	8	42	18	242	14	4	18	8	8	2	0	4	2	62	12	0	2	14	0	8	2684	6	40	12	2	2	10	4	12	18	2	14	268	14	0	2	2	0	2	8	4	8	202	248	12	50	0	0	2	18	0	28	2	508	20	6	0	6	14	4	4	22	2410	4	30	144	4	10	4	16	2	0	10	14	0	250	4	4	234	0	32	6	2
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__;s__Eggerthellaceae_bacterium_AT8	0	0	2	0	0	0	0	0	4	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	16	0	0	2	0	0	0	0	0	30	0	0	0	2	0	0	0	8	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	4	0	4	0	0	0	2	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	2	0	4	0	2	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae	8	12	18	10	0	2	20	0	4	14	0	2	34	10	2	0	8	4	12	0	8	26	0	6	4	2	2	2	8	6	4	10	28	2	8	22	2	4	4	28	0	6	6	10	2	52	2	6	18	14	16	6	4	12	8	0	56	0	0	0	0	30	0	4	6	0	0	46	0	16	12	6	0	8	0	30	24	2	8	1642	8	0	8	2	4	0	4	4	10	0	10	24	0	4	0	12	34	4	2	10	12	44	2	6	16	4	0	8	22	26	2	10	6	0	8	10	4	0	0	98	4	0	0	6	0	2	0	6	6	2
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia_equolifaciens;t__Adlercreutzia_equolifaciens_DSM_19450	0	0	1668	0	2	4	46	0	0	666	14	0	4	4	0	0	2	0	458	0	128	1742	0	0	130	98	4	0	904	226	784	530	0	590	16	966	2	444	282	0	2	2	72	4	0	3314	4	556	1496	0	668	326	190	844	838	0	4320	4	56	0	22	2860	2	46	0	0	0	4044	0	0	2	46	0	1856	0	0	2518	912	350	29544	450	0	0	2	0	4	92	64	0	30	614	4	60	152	0	220	1612	0	18	216	50	4320	172	0	922	642	104	914	1018	2072	0	2	56	2	698	0	216	4	40	54	592	0	2	0	4	204	0	366	638	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Cryptobacterium;s__Cryptobacterium_curtum	0	0	0	0	0	0	0	8	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella_lenta	18	28	6	38	2	18	24	0	4	30	2	0	12	10	0	0	18	6	60	0	8	6	0	10	2	6	14	0	8	0	0	4	2	0	6	0	2	0	0	40	0	22	8	24	8	30	14	4	12	190	8	0	0	0	0	12	32	0	0	0	2	4	6	4	16	0	0	2	16	114	28	6	8	4	0	60	22	4	0	3224	0	0	28	6	0	0	0	12	26	2	2	24	2	2	2	16	70	8	0	12	0	18	10	4	0	2	2	2	34	4	0	14	2	2	2	10	2	4	2	772	0	2	0	10	0	0	0	2	2	8
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella	0	0	0	0	0	0	10	0	0	0	8	0	26	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	76	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	72	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	2	0	0	0	0	0	0	234	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	4	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter_pamelaeae	4	4	0	0	0	4	0	0	0	0	0	0	238	12	0	0	16	0	4	0	0	6	0	0	0	2	0	0	8	0	8	0	0	2	12	2	0	0	0	2	0	4	0	6	0	20	0	0	2	60	6	0	0	6	2	0	40	0	0	0	0	0	0	0	2	2	0	4	0	10	2	2	0	6	2	2	4	2	4	258	2	0	0	0	0	0	0	0	6	4	2	2	0	0	0	4	10	4	0	0	0	6	4	2	2	2	0	4	2	0	0	6	0	2	2	0	2	2	0	32	0	0	0	0	0	2	0	0	0	6
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Enterorhabdus;s__Enterorhabdus_caecimuris;t__Enterorhabdus_caecimuris_B7	0	2	2	0	0	0	0	0	0	2	0	0	2	4	0	0	0	0	2	0	0	4	0	0	0	0	0	0	6	2	2	2	2	6	2	4	0	2	4	0	0	0	0	0	0	16	0	2	8	2	2	2	0	4	8	0	26	0	0	0	0	6	0	0	2	0	0	4	0	2	0	0	0	4	0	0	4	6	6	128	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	2	0	2	8	0	0	2	0	0	0	10	2	0	0	0	0	2	0	4	0	0	8	0	0	0	0	0	2	0	2	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Enterorhabdus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Enterorhabdus;s__Enterorhabdus_caecimuris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	4	0	2	0	0	0	0	2	0	0	0	0	0	6	0	2	2	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Enterorhabdus;s__Enterorhabdus_mucosicola;t__Enterorhabdus_mucosicola_DSM_19490	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	4	0	0	22	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	6	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Enterorhabdus;s__Enterorhabdus_mucosicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_piriformis	0	28	2	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	2	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	30	76	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_exigua;t__Slackia_exigua_ATCC_700122	2	0	2	0	0	48	4	0	4	2	0	14	58	44	0	0	2	2	0	6	0	4	2	6	0	0	0	0	0	0	0	0	0	0	2	2	16	0	0	32	0	0	0	0	0	0	4	0	2	4	22	0	0	0	0	4	10	228	0	2	0	2	2	2	2	4	0	0	0	10	2	0	28	0	0	0	4	0	0	38	4	0	0	10	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	46	92	2	0	2	0	0	0	4	0	0	0	4	0	2	0	0	10	2	12	6	0	0	0	234	4	2	0	0	24	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_exigua	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	6	0	2	0	0	0	0	4	0	0	0	6	0	0	0	0	2	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	18	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	16	0	4	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_heliotrinireducens;t__Slackia_heliotrinireducens_DSM_20476	0	6	6	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_heliotrinireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_piriformis;t__Slackia_piriformis_YIT_12062	0	256	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	4	0	98	394	0	0	0	0	0	0	2	0	0	10	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	46	14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	64	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	18	210	10	34	2	0	0	0	2	32	8	6	118	40	2	6	40	2	32	2	2	14	4	2	10	16	4	0	10	2	106	4	2	16	58	54	8	24	18	90	14	22	36	18	2	86	6	30	18	36	20	22	42	22	4	32	20	0	10	0	10	60	4	8	24	2	18	42	48	112	18	6	6	24	8	4	42	12	8	292	16	0	20	6	0	4	0	48	66	18	50	12	60	26	0	20	28	24	4	0	28	54	40	4	18	22	8	4	106	30	2	76	44	12	16	8	28	8	28	18	12	0	20	4	2	34	0	14	4	30
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__Bacteroidetes_oral_taxon_274;t__Bacteroidetes_oral_taxon_274_str._F0058	0	0	2	0	0	4	0	2	0	0	0	4	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	44	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	18	0	0	0	0	0	2	0	0	4	2	0	4	0	0	0	0	0	0	0	0	76	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	44	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__Bacteroidetes_oral_taxon_274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	6	0	0	0	10	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__Phocaeicola;s__Phocaeicola_abscessus;t__Phocaeicola_abscessus_CCUG_55929	0	2	0	0	2	26	2	8	14	0	2	8	2	218	2	6	2	0	0	50	2	0	8	18	2	12	0	0	0	0	44	0	0	0	2	66	20	10	0	68	6	0	0	0	0	4	16	0	0	4	12	0	32	0	0	0	0	18	0	0	2	0	0	0	0	2	0	2	0	4	10	2	8	0	0	0	0	8	0	0	62	38	26	52	0	2	0	0	0	38	0	0	0	0	0	32	0	0	4	8	28	2	0	20	0	0	0	4	0	2	0	2	8	0	8	0	14	0	10	0	0	0	0	134	0	0	0	2	148	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__Phocaeicola;s__Phocaeicola_abscessus	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	4	0	2	0	0	2	0	0	0	0	0	0	0	16	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	2	16	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	6	0	2	0	2	0	0	22	0	0	0	2	4	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__Bacteroidales_bacterium_CF	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	2	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__Candidatus_Azobacteroides;s__Candidatus_Azobacteroides_pseudotrichonymphae;t__Candidatus_Azobacteroides_pseudotrichonymphae_genomovar._CFP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis;t__Bacteroides_fragilis_YCH46	813170	14944	529902	19338	77756	984328	6674052	177998	20432	397776	88156	17986	18834	4990	99872	900	33176	28366	444406	53230	5502	146992	7334	471312	11832	87756	36538	4376	27922	104148	19294	248874	468808	3536	7560	2906	5456	53030	27078	1134400	565528	22740	113872	89146	18310	4516	1931882	18704	128428	135468	397558	5684	783484	15156	5016	2065896	45578	12926	676	3556	6642	75598	386336	22964	11626	29426	48772	51128	21722	2604948	42084	3128	513062	121840	356918	19006	85366	14644	6198	4154834	1760	4732	23346	12850	5822	6766	28582	63618	3958	14204	1814	243316	13280	4878	5038690	4298	826104	28876	2078	3936338	57374	62492	15324	3510	5356	2766	231464	4276	306266	19728	1126	82518	7236	10354	35334	54376	33938	45380	11016	2994	328468	148946	925240	16724	2690	3978	1532	4794	10646	262146
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola;t__Bacteroides_coprocola_DSM_17136	2136098	50712	209192	102274	137488	10324	22450	22888	26542	25118	20388	57848	215560	5052	2446	1476	71516	397474	69762	6800	1325546	4212	6120	74270	44096	237898	3508	60128	19246	978266	23714	29960	3336	32516	279672	20464	75732	91474	15204	50340	22058	1515274	213610	16570	15920	43878	171780	43102	94778	130740	197276	2787114	31064	52592	9384	87148	35666	45582	46440	26738	11266	22216	6486	15896	64360	3428	39782	15054	2606	213500	27488	61086	2790674	5392	13668	247060	80576	67530	1529160	78246	198526	1226	414128	28922	282290	24474	47538	216224	428816	95310	13370	70132	503176	94020	1944	11656	2089494	1218200	3948	4832	461516	100974	141228	20476	35924	97476	7448	60458	171104	86346	10096	144656	18134	32692	119608	21320	61512	12668	28254	40084	53162	5560	12252	220484	5420	351248	68470	20380	50016	32376
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	33378	17338	5620	8946	293914	6486	3044	40466	6608	179758	18554	4146	280458	4072	1044	308	96328	744	7148	4626	2286	325894	876	35288	3038	43952	584	148	14352	7530	34508	42828	3704	29184	13040	23434	52670	238130	2580	5960	1932	52248	16412	8526	46944	90476	4124	14624	35516	7918	39860	135320	26450	3380	198606	164286	31372	3412	2318	3386	145304	110264	1204	17624	5504	10966	3602	24958	72590	55560	34224	5874	132708	76134	1546	18686	37534	18662	15260	3896	18130	206	15516	3084	3902	5658	392	132124	97110	2590	1180	2942	15954	25840	884	15532	76002	200982	794	1568	5844	280844	250592	123358	74990	2738	9386	42590	17012	839758	184830	3253992	29912	7366	22808	45438	87058	2882	6238	14922	1858	1346	4832	1926	78884	11270	270	226810	3490	5640
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_barnesiae;t__Bacteroides_barnesiae_DSM_18169_=_JCM_13652	5906	4804	2298	1902	218	834	34	3178	192	670	352	1358	16058	854	352	250	986	3412	8964	660	24650	1542	132	1224	1926	7380	8	1214	456	16592	2488	250	228	14708	8398	7982	662	7442	110	6924	108	3934	2156	170	1474	7868	2476	848	4088	3964	1064	15406	1264	16244	1814	576	7854	792	548	1306	2300	376	102	3348	1450	178	222	3058	1336	1234	674	2332	14212	900	1596	508	3784	698	802	5118	1446	16	4260	12800	924	510	432	15398	5838	2970	1264	334	2062	868	86	2238	9316	9830	140	26	1326	420	7190	11446	658	842	288	130	6058	1264	116	2720	784	614	1012	2436	396	696	1254	20534	1116	1810	244	2554	204	4708	94	1786	13436	10630
