#SampleID	Var	ControlVar
SRS017663.572181	Oral	969:241775
SRS011367.574150	Oral	969:241767
SRS015023.573071	Oral	969:241718
SRS013819.575758	Oral	969:241794
SRS015452.570749	Gastrointestinal_tract	969:241743
SRS014271.573756	Oral	969:241825
SRS011586.574634	Gastrointestinal_tract	969:241783
SRS021372.573382	Oral	969:241774
SRS014369.575805	Gastrointestinal_tract	969:241736
SRS016708.575024	Oral	969:241836
SRS044355.574207	Oral	969:241873
SRS015293.573785	Oral	969:241787
SRS017191.571061	Gastrointestinal_tract	969:241838
SRS020755.570974	Gastrointestinal_tract	969:241780
SRS020584.572609	Gastrointestinal_tract	969:241740
SRS018329.573227	Oral	969:241695
SRS065061.573992	Oral	969:268869
SRS015663.574452	Gastrointestinal_tract	969:241845
SRS020835.574869	Oral	969:241677
SRS021183.571090	Oral	969:241842
SRS017713.573132	Oral	969:241710
SRS018370.571565	Gastrointestinal_tract	969:241797
SRS018449.575950	Oral	969:241826
SRS016455.570417	Oral	969:241846
SRS021724.575151	Gastrointestinal_tract	969:241706
SRS014436.571777	Oral	969:241812
SRS055482.574421	Gastrointestinal_tract	969:241878
SRS011452.573598	Gastrointestinal_tract	969:241760
SRS014287.575983	Gastrointestinal_tract	969:241825
SRS011653.571620	Gastrointestinal_tract	969:241764
SRS017833.570261	Oral	969:241711
SRS011466.575547	Oral	969:241760
SRS016162.576055	Oral	969:241696
SRS018009.574801	Oral	969:241734
SRS011486.571677	Oral	969:241673
SRS019111.574286	Oral	969:241743
SRS022239.573577	Oral	969:241786
SRS021320.574543	Oral	969:241735
SRS018427.573990	Gastrointestinal_tract	969:241826
SRS020592.575581	Oral	969:241740
SRS015332.574075	Gastrointestinal_tract	969:241811
SRS015468.574374	Oral	969:241743
SRS016604.572186	Oral	969:241690
SRS049823.574392	Gastrointestinal_tract	969:257127
SRS015460.574534	Oral	969:241743
SRS021853.576597	Gastrointestinal_tract	969:241744
SRS015724.576129	Gastrointestinal_tract	969:241756
SRS042783.576367	Oral	969:241860
SRS023387.571042	Oral	969:241697
SRS015452.575102	Gastrointestinal_tract	969:241743
SRS064402.572686	Oral	969:268877
SRS015784.570668	Oral	969:241685
SRS011588.576369	Oral	969:241783
SRS021129.572565	Oral	969:241801
SRS013464.571049	Oral	969:241666
SRS021326.575513	Oral	969:241735
SRS049406.571968	Oral	969:241856
SRS013466.575611	Oral	969:241666
SRS064383.572424	Oral	969:268865
SRS017349.570486	Oral	969:241674
SRS013456.574881	Oral	969:241666
SRS013822.574319	Oral	969:241794
SRS063367.571464	Oral	969:268876
SRS013470.571694	Oral	969:241666
SRS015772.572031	Oral	969:241685
SRS017284.572497	Oral	969:241724
SRS015621.575367	Oral	969:241784
SRS017282.576530	Oral	969:241724
SRS013788.573987	Oral	969:241819
SRS017286.574737	Oral	969:241724
SRS013456.570558	Oral	969:241666
SRS013468.574537	Oral	969:241666
SRS013466.570924	Oral	969:241666
SRS043758.572077	Oral	969:241878
SRS017274.573248	Oral	969:241724
SRS013472.575723	Oral	969:241666
SRS013462.576151	Oral	969:241666
SRS058104.575979	Oral	969:241874
SRS011357.574704	Oral	969:241767
SRS013237.572332	Oral	969:241833
SRS013470.570398	Oral	969:241666
SRS016229.575086	Oral	969:241687
SRS014128.573467	Oral	969:241844
SRS042533.574284	Oral	969:257127
SRS016227.573863	Oral	969:241687
SRS044617.574931	Oral	969:241875
SRS057515.576276	Oral	969:257133
SRS044272.576047	Oral	969:241859
SRS054039.571561	Oral	969:241856
SRS017082.574218	Oral	969:241705
SRS019251.575149	Oral	969:241800
SRS017723.573270	Oral	969:241710
SRS055114.575697	Oral	969:257133
SRS014907.575710	Oral	969:241808
SRS017406.573641	Oral	969:241703
SRS020877.574780	Oral	969:241679
SRS014746.574845	Oral	969:241824
SRS016012.573191	Oral	969:241708
SRS015176.573425	Oral	969:241675
SRS014760.571243	Oral	969:241824
SRS011482.575509	Oral	969:241673
SRS011429.571133	Oral	969:241709
SRS015356.572913	Oral	969:241811
SRS015305.570973	Oral	969:241787
SRS053335.574838	Gastrointestinal_tract	969:241864
SRS017023.575878	Oral	969:241746
SRS017469.572049	Oral	969:241721
SRS018202.570737	Oral	969:241765
SRS011169.571742	Oral	969:241686
SRS021318.576595	Oral	969:241735
SRS014556.576310	Oral	969:241730
SRS022251.576574	Oral	969:241786
SRS057069.574886	Oral	969:241886
SRS013460.571482	Oral	969:241666
SRS014871.571089	Oral	969:241830
SRS014261.573356	Oral	969:241791
SRS011421.571162	Oral	969:241709
SRS015299.573406	Oral	969:241787
SRS015237.574861	Oral	969:241729
SRS014960.570738	Oral	969:241727
SRS065577.573190	Oral	969:268876
SRS011407.574565	Oral	969:241834
SRS015631.572511	Oral	969:241784
SRS062913.573655	Oral	969:268878
SRS050262.571199	Oral	969:241872
SRS021197.575267	Oral	969:241842
SRS016343.572924	Oral	969:241839
SRS016010.573049	Oral	969:241708
SRS062886.576447	Oral	969:268877
SRS011279.573446	Oral	969:241748
SRS016221.571618	Oral	969:241687
SRS020551.574425	Oral	969:241821
SRS014677.575520	Oral	969:241720
SRS014873.573554	Oral	969:241830
SRS011464.570460	Oral	969:241760
SRS011494.576024	Oral	969:241673
SRS015635.572741	Oral	969:241784
SRS020435.576148	Oral	969:241680
SRS016666.573942	Oral	969:241713
SRS016541.576313	Oral	969:241831
SRS011486.574235	Oral	969:241673
SRS017072.570532	Oral	969:241705
SRS017076.573631	Oral	969:241705
SRS014677.573693	Oral	969:241720
SRS064539.572456	Oral	969:268876
SRS015358.570670	Oral	969:241811
SRS017209.573818	Oral	969:241838
SRS016333.573787	Oral	969:241813
SRS022824.575995	Oral	969:241816
SRS018795.576557	Oral	969:241731
SRS020781.572164	Oral	969:241780
SRS015683.574418	Oral	969:241845
SRS055531.574721	Oral	969:241875
SRS014919.573086	Oral	969:241808
SRS011165.572829	Oral	969:241686
SRS015520.574094	Oral	969:241707
SRS011363.575184	Oral	969:241767
SRS018147.575622	Oral	969:241828
SRS013472.574884	Oral	969:241666
SRS017278.575724	Oral	969:241724
SRS016231.572292	Oral	969:241687
SRS064478.571293	Oral	969:268876
SRS016974.574080	Oral	969:241795
SRS013474.572674	Oral	969:241666
SRS013474.573185	Oral	969:241666
SRS050005.574440	Oral	969:241878
SRS020551.575598	Oral	969:241821
SRS020010.573105	Oral	969:241847
SRS016123.574773	Oral	969:241701
SRS050846.571350	Oral	969:241873
SRS020710.574195	Oral	969:241759
SRS016346.574768	Oral	969:241839
SRS053335.576563	Gastrointestinal_tract	969:241864
SRS021384.573906	Oral	969:241774
SRS016773.576437	Oral	969:241715
SRS017014.572322	Oral	969:241746
SRS020606.575044	Oral	969:241740
SRS042606.574212	Oral	969:257133
SRS020667.576084	Oral	969:241776
SRS017008.570236	Oral	969:241746
SRS013708.575368	Oral	969:241725
SRS018321.576000	Oral	969:241695
SRS015247.573888	Gastrointestinal_tract	969:241729
SRS016233.572882	Oral	969:241687
SRS015241.572316	Oral	969:241729
SRS042331.571157	Oral	969:241884
SRS057612.572747	Oral	969:241891
SRS011629.574109	Oral	969:241795
SRS014367.571815	Oral	969:241736
SRS018751.572813	Oral	969:241832
SRS016068.572818	Oral	969:241741
SRS015764.576586	Oral	969:241685
SRS011289.576319	Oral	969:241748
SRS012191.575409	Gastrointestinal_tract	969:241668
SRS020490.574194	Oral	969:241733
SRS011357.572409	Oral	969:241767
SRS021087.576493	Oral	969:241694
SRS011571.574263	Oral	969:241834
SRS019255.572662	Oral	969:241800
SRS015968.574457	Oral	969:241769
SRS011464.573442	Oral	969:241760
SRS018799.570270	Oral	969:241731
SRS016117.574667	Oral	969:241701
SRS016321.575309	Oral	969:241813
SRS015929.574684	Oral	969:241778
SRS011283.572007	Oral	969:241748
SRS011458.576054	Oral	969:241760
SRS020257.576263	Oral	969:241798
SRS043565.574363	Oral	969:241860
SRS015243.571722	Oral	969:241729
SRS017139.575029	Oral	969:241814
SRS052423.575301	Oral	969:241860
SRS018787.573781	Oral	969:241731
SRS011492.570315	Oral	969:241673
SRS011466.574361	Oral	969:241760
SRS020241.570436	Oral	969:241798
SRS013516.575410	Oral	969:241676
SRS016016.574241	Oral	969:241708
SRS016361.572905	Oral	969:241839
SRS020362.571505	Oral	969:241726
SRS064733.572993	Oral	969:268869
SRS046542.576227	Oral	969:241890
SRS022546.571178	Gastrointestinal_tract	969:241817
SRS017408.575122	Oral	969:241703
SRS015758.571016	Oral	969:241685
SRS011407.573150	Oral	969:241834
SRS018394.575064	Oral	969:241797
SRS014663.570263	Oral	969:241720
SRS011571.572516	Oral	969:241834
SRS022354.575121	Gastrointestinal_tract	969:241768
SRS044041.575936	Oral	969:241864
SRS011586.570758	Gastrointestinal_tract	969:241783
SRS050208.573822	Oral	969:241878
SRS011452.570650	Gastrointestinal_tract	969:241760
SRS014655.571388	Oral	969:241720
SRS058507.573700	Oral	969:241874
SRS015397.573823	Oral	969:241682
SRS018505.571766	Oral	969:241667
SRS049973.571029	Oral	969:241852
SRS016285.575603	Oral	969:241681
SRS015931.574854	Oral	969:241778
SRS024702.573180	Oral	969:241753
SRS016072.571665	Oral	969:241741
SRS056105.575879	Oral	969:241873
SRS044803.572997	Oral	969:257122
SRS014869.574060	Oral	969:241830
SRS011371.574056	Oral	969:241767
SRS054475.570490	Oral	969:257122
SRS013240.571927	Oral	969:241833
SRS011504.573495	Oral	969:241702
SRS016596.570626	Oral	969:241690
SRS047642.574920	Gastrointestinal_tract	969:257122
SRS011275.570357	Oral	969:241748
SRS050871.570894	Oral	969:257122
SRS023250.574855	Oral	969:241770
SRS018157.576362	Oral	969:241828
SRS023268.571065	Oral	969:241770
SRS021382.576057	Oral	969:241774
SRS011596.575761	Oral	969:241783
SRS011281.575408	Oral	969:241748
SRS018100.575514	Oral	969:241671
SRS011287.575677	Oral	969:241748
SRS014966.571545	Oral	969:241727
SRS016426.576079	Oral	969:241749
SRS014964.575223	Oral	969:241727
SRS011289.573414	Oral	969:241748
SRS022570.572451	Oral	969:241817
SRS011273.572136	Oral	969:241748
SRS015035.575318	Oral	969:241718
SRS050958.571380	Oral	969:241879
SRS020014.571153	Oral	969:241847
SRS015917.575485	Oral	969:241778
SRS050838.573215	Oral	969:241852
SRS042857.575405	Oral	969:241883
SRS016476.574490	Oral	969:241846
SRS011423.575259	Oral	969:241709
SRS018102.573993	Oral	969:241671
SRS017412.572448	Oral	969:241703
SRS011287.571662	Oral	969:241748
SRS044027.572464	Oral	969:241861
SRS011281.572410	Oral	969:241748
SRS016239.574748	Oral	969:241687
SRS014966.572749	Oral	969:241727
SRS011369.576412	Oral	969:241767
SRS021443.573607	Oral	969:241754
SRS013252.573761	Oral	969:241833
SRS020004.574037	Oral	969:241847
SRS020014.571679	Oral	969:241847
SRS020016.574337	Oral	969:241847
SRS011468.575985	Oral	969:241760
SRS016414.572281	Oral	969:241749
SRS020837.571716	Oral	969:241677
SRS011659.572571	Oral	969:241764
SRS014964.574617	Oral	969:241727
SRS017719.572148	Oral	969:241710
SRS018094.576502	Oral	969:241671
SRS017130.570903	Oral	969:241814
SRS022566.570699	Oral	969:241817
SRS021007.572471	Oral	969:241806
SRS023811.575339	Oral	969:241742
SRS022870.570343	Oral	969:241698
SRS021376.571403	Oral	969:241774
SRS020775.573566	Oral	969:241780
SRS021253.576343	Oral	969:241669
SRS051454.574399	Oral	969:257133
SRS021802.575672	Oral	969:241849
SRS015762.574848	Oral	969:241685
SRS049521.575189	Oral	969:241875
SRS056493.570588	Oral	969:241878
SRS020883.573804	Oral	969:241679
SRS020259.573359	Oral	969:241798
SRS011543.573121	Oral	969:241837
SRS016237.573728	Oral	969:241687
SRS016449.570923	Oral	969:241846
SRS056932.576360	Oral	969:241852
SRS054440.573155	Oral	969:241872
SRS017402.574558	Oral	969:241703
SRS015923.572582	Oral	969:241778
SRS018102.573433	Oral	969:241671
SRS018100.575134	Oral	969:241671
SRS020547.571864	Oral	969:241821
SRS023377.570808	Oral	969:241697
SRS063142.573615	Oral	969:268865
SRS020370.570492	Oral	969:241726
SRS015403.576018	Oral	969:241682
SRS016461.571652	Oral	969:241846
SRS018216.570352	Oral	969:241765
SRS011516.570996	Oral	969:241702
SRS014655.574515	Oral	969:241720
SRS017890.571149	Oral	969:241799
SRS016279.572567	Oral	969:241681
SRS015970.571242	Oral	969:241769
SRS017359.575959	Oral	969:241674
SRS020004.571502	Oral	969:241847
SRS014819.576439	Oral	969:241793
SRS018791.572397	Oral	969:241731
SRS020245.571903	Oral	969:241798
SRS016327.573581	Oral	969:241813
SRS017479.570524	Oral	969:241721
SRS018791.571847	Oral	969:241731
SRS057913.570474	Oral	969:241855
SRS053128.574849	Oral	969:241872
SRS013784.575083	Oral	969:241819
SRS020376.574690	Oral	969:241726
SRS014130.572069	Oral	969:241844
SRS016473.571188	Oral	969:241846
SRS016767.576411	Oral	969:241715
SRS056932.572947	Oral	969:241852
SRS018805.575908	Oral	969:241731
SRS013786.575970	Oral	969:241819
SRS017772.576233	Oral	969:241782
SRS045467.575114	Oral	969:241857
SRS014861.575659	Oral	969:241830
SRS016458.574231	Oral	969:241846
SRS011623.572345	Oral	969:241795
SRS045364.572008	Oral	969:241861
SRS016777.576593	Oral	969:241715
SRS014353.573297	Oral	969:241736
SRS015923.574341	Oral	969:241778
SRS013834.572009	Oral	969:241794
SRS016002.572941	Oral	969:241708
SRS020304.576299	Oral	969:241829
SRS016352.572417	Oral	969:241839
SRS016531.576070	Oral	969:241831
SRS016416.570515	Oral	969:241749
SRS015033.573128	Oral	969:241718
SRS047667.575300	Oral	969:241853
SRS011665.575377	Oral	969:241764
SRS018735.574797	Oral	969:241832
SRS016424.570841	Oral	969:241749
SRS016418.572610	Oral	969:241749
SRS016779.576334	Oral	969:241715
SRS017902.574551	Oral	969:241799
SRS011173.573031	Oral	969:241686
SRS018799.572112	Oral	969:241731
SRS020437.572627	Oral	969:241680
SRS015460.570633	Oral	969:241743
SRS011371.572800	Oral	969:241767
SRS042093.570415	Oral	969:241864
SRS057046.575268	Oral	969:241869
SRS018435.571010	Oral	969:241826
SRS014365.575658	Oral	969:241736
SRS018439.574489	Oral	969:241826
SRS011431.574579	Oral	969:241709
SRS015409.571129	Oral	969:241682
SRS021267.571135	Oral	969:241669
SRS018503.571698	Oral	969:241667
SRS045517.572716	Oral	969:257123
SRS020712.572364	Oral	969:241759
SRS046739.573605	Oral	969:241869
SRS023389.573502	Oral	969:241697
SRS022695.573264	Oral	969:241689
SRS022245.572046	Oral	969:241786
SRS022681.574916	Oral	969:241689
SRS024690.576494	Oral	969:241753
SRS016529.574547	Oral	969:241831
SRS020298.572912	Oral	969:241829
SRS051724.574938	Oral	969:241872
SRS048463.571194	Oral	969:241893
SRS018511.575932	Oral	969:241667
SRS011655.573884	Oral	969:241764
SRS016422.575354	Oral	969:241749
SRS044813.576197	Oral	969:241864
SRS056170.571047	Oral	969:241861
SRS018787.572028	Oral	969:241731
SRS018793.575061	Oral	969:241731
SRS014281.576380	Oral	969:241825
SRS020245.571429	Oral	969:241798
SRS016170.573583	Oral	969:241696
SRS014321.573533	Oral	969:241844
SRS014261.571661	Oral	969:241791
SRS011484.573286	Oral	969:241673
SRS016281.573855	Oral	969:241681
SRS018447.571018	Oral	969:241826
SRS016924.575853	Oral	969:241792
SRS058387.573009	Oral	969:257133
SRS015528.570803	Oral	969:241707
SRS020893.572891	Oral	969:241679
SRS011468.570781	Oral	969:241760
SRS020302.574375	Oral	969:241829
SRS019259.573482	Oral	969:241800
SRS020895.570284	Oral	969:241679
SRS011163.576221	Oral	969:241686
SRS015186.574269	Oral	969:241675
SRS017020.573456	Oral	969:241746
SRS043591.570353	Oral	969:241875
SRS048577.570224	Oral	969:241859
SRS017845.575402	Oral	969:241711
SRS013825.574118	Oral	969:241794
SRS014138.571632	Oral	969:241736
SRS064317.573450	Oral	969:268869
SRS016062.570753	Oral	969:241741
SRS018803.574985	Oral	969:241731
SRS016131.571991	Oral	969:241701
SRS015978.576565	Oral	969:241769
SRS011657.575693	Oral	969:241764
SRS011419.570827	Oral	969:241709
SRS015472.573611	Oral	969:241743
SRS017361.573508	Oral	969:241674
SRS021199.570601	Oral	969:241842
SRS020722.572856	Oral	969:241759
SRS021678.571683	Oral	969:241688
SRS020763.573716	Oral	969:241780
SRS021135.576300	Oral	969:241801
SRS021684.574504	Oral	969:241688
SRS021125.573147	Oral	969:241801
SRS011285.576261	Oral	969:241748
SRS021121.576388	Oral	969:241801
SRS046636.574261	Oral	969:257122
SRS020779.571577	Oral	969:241780
SRS011159.576385	Oral	969:241686
SRS049738.571469	Oral	969:241873
SRS018094.573035	Oral	969:241671
SRS016414.575356	Oral	969:241749
SRS047094.575565	Oral	969:241852
SRS020002.572093	Oral	969:241847
SRS011173.572279	Oral	969:241686
SRS017467.573489	Oral	969:241721
SRS020008.570807	Oral	969:241847
SRS016458.573972	Oral	969:241846
SRS015470.575238	Oral	969:241743
SRS015368.573170	Oral	969:241811
SRS021133.571858	Oral	969:241801
SRS011175.573375	Oral	969:241686
SRS017475.576390	Oral	969:241721
SRS017463.575491	Oral	969:241721
SRS016458.571510	Oral	969:241846
SRS014958.575644	Oral	969:241727
SRS017026.573207	Oral	969:241746
SRS017029.575283	Oral	969:241746
SRS057789.570842	Oral	969:241856
SRS017727.572667	Oral	969:241710
SRS011635.572759	Oral	969:241795
SRS049738.573949	Oral	969:241873
SRS043032.570771	Oral	969:241873
SRS018084.571885	Oral	969:241671
SRS020016.570759	Oral	969:241847
SRS048393.571122	Oral	969:241869
SRS011635.575138	Oral	969:241795
SRS016761.570689	Oral	969:241715
SRS021187.572120	Oral	969:241842
SRS015309.575767	Oral	969:241787
SRS022822.572831	Oral	969:241816
SRS046752.570947	Oral	969:241880
SRS017418.570288	Oral	969:241703
SRS011520.572939	Oral	969:241702
SRS013516.574586	Oral	969:241676
SRS017304.574040	Oral	969:241676
SRS014267.570816	Oral	969:241825
SRS016129.574189	Oral	969:241701
SRS013705.571069	Oral	969:241725
SRS014764.572437	Oral	969:241824
SRS015530.575140	Oral	969:241707
SRS015470.576552	Oral	969:241743
SRS011518.571823	Oral	969:241702
SRS053814.573460	Oral	969:241854
SRS014762.576256	Oral	969:241824
SRS056891.575117	Oral	969:257122
SRS017776.575976	Oral	969:241782
SRS015675.573249	Oral	969:241845
SRS011567.570946	Oral	969:241834
SRS019247.572766	Oral	969:241800
SRS017357.575507	Oral	969:241674
SRS053756.572699	Oral	969:241857
SRS058603.570782	Oral	969:241855
SRS020492.573640	Oral	969:241733
SRS047950.573238	Gastrointestinal_tract	969:257120
SRS023679.570267	Oral	969:241751
SRS022033.573903	Gastrointestinal_tract	969:241738
SRS020827.572556	Oral	969:241677
SRS020425.570360	Oral	969:241680
SRS011512.570332	Oral	969:241702
SRS016464.570792	Oral	969:241846
SRS011504.573986	Oral	969:241702
SRS018753.573039	Oral	969:241832
SRS017900.571439	Oral	969:241799
SRS016470.575465	Oral	969:241846
SRS014915.571591	Oral	969:241808
SRS018147.575493	Oral	969:241828
SRS043149.571232	Oral	969:241872
SRS015027.573110	Oral	969:241718
SRS014428.571525	Oral	969:241812
SRS013837.576040	Oral	969:241794
SRS015574.575989	Oral	969:241802
SRS020374.574665	Oral	969:241726
SRS011543.572588	Oral	969:241837
SRS018453.576618	Oral	969:241826
SRS022572.576355	Oral	969:241817
SRS017790.572183	Oral	969:241782
SRS016669.571504	Oral	969:241713
SRS011458.575511	Oral	969:241760
SRS016877.571309	Oral	969:241745
SRS050155.571440	Oral	969:241873
SRS063819.575971	Oral	969:268878
SRS018274.571175	Oral	969:241785
SRS021750.570367	Oral	969:241706
SRS015131.570593	Oral	969:241850
SRS014279.573072	Oral	969:241825
SRS013780.572990	Oral	969:241819
SRS011488.574833	Oral	969:241673
SRS014657.573387	Oral	969:241720
SRS015407.573973	Oral	969:241682
SRS018497.576340	Oral	969:241667
SRS017002.572534	Oral	969:241746
SRS022677.575174	Oral	969:241689
SRS016006.572088	Oral	969:241708
SRS022033.571876	Gastrointestinal_tract	969:241738
SRS022812.572419	Oral	969:241816
SRS022380.572858	Oral	969:241768
SRS016319.574268	Oral	969:241813
SRS019257.574990	Oral	969:241800
SRS022185.573873	Oral	969:241683
SRS015599.573980	Gastrointestinal_tract	969:241784
SRS022183.573006	Oral	969:241683
SRS020316.571034	Oral	969:241829
SRS011604.571410	Oral	969:241783
SRS018339.573081	Oral	969:241695
SRS017667.571840	Oral	969:241775
SRS013837.571779	Oral	969:241794
SRS015395.571275	Oral	969:241682
SRS021879.572689	Oral	969:241744
SRS021453.575803	Oral	969:241754
SRS064994.572209	Oral	969:268865
SRS014675.570277	Oral	969:241720
SRS020934.570856	Oral	969:241752
SRS016335.574806	Gastrointestinal_tract	969:241813
SRS062610.573115	Gastrointestinal_tract	969:268877
SRS020439.571746	Oral	969:241680
SRS020608.573317	Oral	969:241740
SRS017084.574405	Oral	969:241705
SRS017078.572767	Oral	969:241705
SRS011425.574898	Oral	969:241709
SRS013249.572013	Oral	969:241833
SRS011462.573982	Oral	969:241760
SRS019998.576482	Oral	969:241847
SRS049389.575958	Oral	969:241884
SRS011520.575892	Oral	969:241702
SRS020547.574310	Oral	969:241821
SRS045153.571812	Oral	969:241855
SRS021304.570956	Gastrointestinal_tract	969:241735
SRS020771.573945	Oral	969:241780
SRS021869.573437	Oral	969:241744
SRS020952.573519	Oral	969:241752
SRS048544.573192	Oral	969:241875
SRS015227.570701	Oral	969:241729
SRS016928.574050	Oral	969:241792
SRS013711.570881	Oral	969:241725
SRS015677.570502	Oral	969:241845
SRS011545.574166	Oral	969:241837
SRS015669.574144	Oral	969:241845
SRS018198.573211	Oral	969:241765
SRS023693.571255	Oral	969:241751
SRS015127.576329	Oral	969:241850
SRS015917.572958	Oral	969:241778
SRS064540.574255	Oral	969:268869
SRS018605.571130	Oral	969:241758
SRS015354.571119	Oral	969:241811
SRS013246.571284	Oral	969:241833
SRS044435.570999	Oral	969:241884
SRS015188.571136	Oral	969:241675
SRS017304.575372	Oral	969:241676
SRS015786.572236	Oral	969:241685
SRS014675.572296	Oral	969:241720
SRS016283.575720	Oral	969:241681
SRS048439.571062	Oral	969:257123
SRS020364.570850	Oral	969:241726
SRS013831.571273	Oral	969:241794
SRS046986.571002	Oral	969:241886
SRS017892.573619	Oral	969:241799
SRS015625.570304	Oral	969:241784
SRS016127.572157	Oral	969:241701
SRS015578.571615	Gastrointestinal_tract	969:241802
SRS011462.573050	Oral	969:241760
SRS011601.572852	Oral	969:241783
SRS023242.573391	Gastrointestinal_tract	969:241770
SRS017227.576007	Oral	969:241838
SRS017665.574059	Oral	969:241775
SRS014434.572002	Oral	969:241812
SRS064340.570473	Oral	969:268877
SRS021195.574344	Oral	969:241842
SRS020553.572405	Oral	969:241821
SRS018603.570389	Oral	969:241758
SRS011604.575838	Oral	969:241783
SRS011671.575536	Oral	969:241764
SRS020655.570660	Oral	969:241776
SRS015722.570410	Oral	969:241756
SRS015720.572657	Oral	969:241756
SRS020494.571272	Oral	969:241733
SRS011490.570922	Oral	969:241673
SRS011373.575725	Oral	969:241767
SRS015129.572408	Oral	969:241850
SRS021328.575197	Oral	969:241735
SRS020831.576104	Oral	969:241677
SRS016936.576008	Oral	969:241792
SRS043642.571428	Oral	969:241893
SRS020372.575727	Oral	969:241726
SRS016235.572044	Oral	969:241687
SRS020302.570373	Oral	969:241829
SRS011627.572133	Oral	969:241795
SRS016119.575336	Oral	969:241701
SRS017717.574317	Oral	969:241710
SRS013569.574941	Oral	969:241796
SRS048589.571475	Oral	969:257133
SRS011283.572230	Oral	969:241748
SRS014603.575337	Oral	969:241693
SRS020314.574434	Oral	969:241829
SRS014281.570421	Oral	969:241825
SRS020649.571513	Oral	969:241776
SRS018208.575252	Oral	969:241765
SRS018212.575195	Oral	969:241765
SRS018210.570399	Oral	969:241765
SRS018507.575251	Oral	969:241667
SRS011470.570260	Oral	969:241760
SRS049622.575233	Oral	969:241855
SRS017290.575216	Oral	969:241724
SRS020950.574171	Oral	969:241752
SRS016942.575808	Oral	969:241792
SRS014601.575510	Oral	969:241693
SRS018212.575746	Oral	969:241765
SRS063549.571613	Oral	969:268876
SRS020249.572146	Oral	969:241798
SRS048671.571804	Oral	969:241886
SRS011363.576083	Oral	969:241767
SRS020488.572568	Oral	969:241733
SRS016769.573162	Oral	969:241715
SRS020486.573415	Oral	969:241733
SRS021189.573357	Oral	969:241842
SRS021439.575188	Oral	969:241754
SRS017136.573269	Oral	969:241814
SRS056509.575913	Oral	969:257113
SRS021441.571124	Oral	969:241754
SRS047260.574010	Oral	969:257113
SRS020257.573938	Oral	969:241798
SRS017215.573737	Oral	969:241838
SRS011161.572681	Oral	969:241686
SRS053925.573314	Oral	969:241853
SRS011456.573478	Oral	969:241760
SRS016724.572543	Oral	969:241836
SRS016598.575458	Oral	969:241690
SRS016859.575045	Oral	969:241745
SRS015516.576377	Oral	969:241707
SRS011601.573326	Oral	969:241783
SRS017477.573650	Oral	969:241721
SRS016493.573033	Oral	969:241794
SRS011421.570864	Oral	969:241709
SRS015123.574782	Oral	969:241850
SRS013714.573814	Oral	969:241725
SRS045007.573492	Oral	969:241879
SRS011539.573634	Oral	969:241837
SRS051849.574340	Oral	969:241859
SRS014257.570829	Oral	969:241791
SRS056751.576359	Oral	969:241886
SRS022878.574932	Oral	969:241698
SRS017410.571619	Oral	969:241703
SRS011665.574618	Oral	969:241764
SRS022554.574899	Oral	969:241817
SRS011539.574958	Oral	969:241837
SRS017847.570423	Oral	969:241711
SRS014424.572379	Oral	969:241812
SRS016160.570958	Oral	969:241696
SRS017345.572217	Oral	969:241674
SRS053477.576394	Oral	969:241893
SRS022568.575068	Oral	969:241817
SRS020718.573058	Oral	969:241759
SRS018447.571549	Oral	969:241826
SRS017218.575017	Oral	969:241838
SRS015768.576551	Oral	969:241685
SRS063628.574358	Oral	969:268865
SRS020769.573282	Oral	969:241780
SRS021091.574770	Oral	969:241694
SRS016592.573165	Oral	969:241690
SRS022818.572496	Oral	969:241816
SRS017406.576443	Oral	969:241703
SRS018747.573109	Oral	969:241832
SRS017782.571769	Oral	969:241782
SRS018396.574712	Oral	969:241797
SRS016004.572187	Oral	969:241708
SRS018509.572259	Oral	969:241667
SRS020253.573470	Oral	969:241798
SRS014595.571849	Oral	969:241693
SRS020944.576409	Oral	969:241752
SRS021877.570526	Oral	969:241744
SRS042091.576167	Oral	969:257113
SRS016726.570487	Oral	969:241836
SRS063078.575744	Oral	969:257130
SRS020549.575782	Oral	969:241821
SRS021005.574887	Oral	969:241806
SRS021742.576205	Oral	969:241706
SRS022051.573455	Oral	969:241738
SRS017136.574960	Oral	969:241814
SRS016541.574390	Oral	969:241831
SRS018015.572340	Oral	969:241734
SRS017221.571223	Oral	969:241838
SRS011490.573352	Oral	969:241673
SRS018017.571189	Oral	969:241734
SRS057949.572099	Oral	969:241853
SRS011431.575587	Oral	969:241709
SRS017203.571597	Oral	969:241838
SRS017230.573092	Oral	969:241838
SRS058537.570272	Oral	969:241860
SRS020368.570756	Oral	969:241726
SRS016602.571131	Oral	969:241690
SRS011425.571667	Oral	969:241709
SRS017355.573217	Oral	969:241674
SRS011533.572121	Oral	969:241837
SRS011631.571600	Oral	969:241795
SRS011460.570481	Oral	969:241760
SRS047327.576169	Oral	969:241890
SRS011638.571453	Oral	969:241795
SRS064085.573679	Oral	969:257130
SRS014428.575496	Oral	969:241812
SRS049648.573969	Oral	969:241854
SRS015673.570229	Oral	969:241845
SRS016323.574635	Oral	969:241813
SRS022315.574769	Oral	969:241841
SRS055124.571183	Oral	969:241853
SRS014422.572315	Oral	969:241812
SRS013185.573988	Oral	969:241704
SRS014813.570554	Oral	969:241793
SRS016074.571617	Oral	969:241741
