#OTU ID	82S3MNBY.518050	C0241.T.518067	OTGGZN5Y.518063	OTGGZAZO.518108	C0240.N.518020	QFHRSNIH.518116	C0195.N.518110	5TA9VAT9.518088	5TA9VN6K.518161	C0374.N.518099	C0241.N.518043	UZ65XN27.518028	C0195.T.517986	82S3MAZ4.518145	59S9WAIH.518013	C0252.N.518016	C0275.T.518032	C0378.N.518158	C10.S.517995	C0371.N.518009	C0398.N.518152	C0344.N.518103	C0285.N.518084	C0294.N.517987	C0395.T.518075	GQ6LSNI6.518106	C0325.T.518083	C0315.N.518021	C0270.T.518163	C0366.N.518094	C0258.T.517997	C0349.N.517989	6G2KBNS6.518045	C0134.N.518072	JIDZEAPD.518149	C0399.N.518011	C0395.N.518054	LRQ9WN6C.518048	C0154.N.518002	C0349.T.518111	C0206.N.518065	C0355.T.518157	R8J9ZAGC.518059	TV28INUO.518004	C0225.N.518047	59S9WNC6.518055	C4.S.518169	UEL2GN92.518058	6G2KBASQ.517999	C0311.T.518131	G2OD5N55.518146	C0341.N.518101	C0394.N.518031	5EKFOAO4.518164	UEL2GAPI.518173	C0306.T.518122	KIXFRARY.518160	UZ65XAS5.518119	R8J9ZNOW.518040	C0371.T.518139	C0399.T.518153	C0285.T.518044	C0282.N.518138	C0335.N.518107	C0271.N.518022	C0269.N.518130	C0374.T.518127	C4.T.518118	C0268.N.518089	C0258.N.518014	C0230.N.517992	C0366.T.518172	KIXFRNL2.518129	C0322.N.518165	C0388.N.518136	C0230.T.518144	C0134.T.517988	C0186.N.518143	XZ33PA3O.518135	C0225.T.518033	5EKFONB3.518125	C0159.N.518042	HZIMMNL5.518062	C0362.N.518069	C0095.N.518123	MQETMNL4.518037	C0211.T.518096	GQ6LSABJ.518010	C0344.T.518029	C0341.T.518113	HZIMMAM6.518095	C0095.T.518141	C0198.N.518081	C0149.T.518132	C0294.T.518134	C0362.T.518026	JIDZEN4J.518073	C0318.T.518140	LRQ9WAHA.518036	C0149.N.518039	C0332.T.518017	C0308.N.518154	G2OD5ABL.518057	C0355.N.518077	C0388.T.518015	C0133.N.518051	C0318.N.518105	C0269.T.518150	C0198.T.518166	C0212.T.518155	C0325.N.518109	MQETMAZC.518171	C0342.N.518068	C0245.T.518151	32I9UNA9.518098	TV28IANZ.518070	C0378.T.518104	38U4VNBW.518090	A8A34NCW.518023	C0330.N.518148	41E1KAMA.517991	O436FAO8.518097	32I9UAPQ.518112	C0159.T.518087	G3UBQNDP.518121	C0256.N.518170	C0212.N.518167	C6.S.518082	MQE9OAS7.518008	A8A34AP9.518086	C0268.T.518114	C0209.T.518128	C0240.T.518052	C0330.T.518035	G3UBQAJU.518060	C0306.N.518003	QFHRSAG2.518005	UTWNWANU.518168	XBS5MA8H.517990	38U4VAHB.518100	BFJMKAKB.518159	C0209.N.517984	MQE9ONGV.518038	C0333.N.518126	YOTV6NC8.518156	C0271.T.518078	C0133.T.518133	C0334.N.518066	C0206.T.518053	C1.T.518120	C0211.N.518117	XZ33PN7O.518030	C0334.T.518147	C0342.T.518093	C0333.T.518046	C10.T.518056	YOTV6ASH.518142	C0252.T.518006	C0282.T.518000	I7ROLN9P.518079	C0394.T.518064	C0112.T.518024	C0186.T.518019	C0270.N.518041	C0311.N.518124	C0322.T.518018	C0335.T.518115	C0256.T.518080	C0275.N.518076	41E1KNBP.517985	XBS5MNEH.518074	C0112.N.518001	UTWNWN3P.518012	8XBKGN9F.518085	C0154.T.518091	C0308.T.518162	C0332.N.518027	C6.T.518061	C0235.T.518049	C1.S.518137	C0235.N.517993	C0245.N.518071	C0315.T.518034	BFJMKNMP.518102	8XBKGABK.517998	C0314.T.518025	O436FNP3.518007	C0398.T.518092	C3.S.517996	C3.T.517994
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	34	2	42	0	2	0	8	0	0	1	2	1	1	40	0	0	0	3	0	2	3	6	0	12	0	0	0	0	1	0	31	46	2	11	0	0	0	0	2	36	0	16	0	0	8	0	32	0	1	0	0	2	0	0	0	1	0	0	0	6	0	0	2	0	1	0	0	4	7	15	30	3	0	0	0	18	0	2	0	8	0	20	0	46	0	2	0	0	1	0	1	2	3	0	9	4	0	0	1	0	11	40	0	56	0	0	1	0	1	1	0	1	84	7	0	0	1	0	0	5	0	0	0	4	0	0	14	3	0	0	0	0	0	6	0	20	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	5	3	0	0	0	0	0	0	1	2	3	0	1	0	0	0	0	0	9	0	0	0	16	19	4	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprophilus	0	0	0	0	17	283	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	5	0	0	0	4	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	1	0	11	137	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	68	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola;t__Bacteroides coprocola DSM 17136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	30	0	0	8	1	0	41	0	0	56	0	4	22	0	78	0	23	0	0	0	0	28	9	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	54	0	57	0	0	0	52	0	0	0	181	0	2	0	0	6	0	0	1	0	1	3	0	22	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	51	0	318	2	0	0	11	0	0	131	0	0	0	60	0	0	0	0	0	0	0	1	1	160	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	22	0	0	0	3	0	0	0	0	114	11	0	30	0	0	0	0	0	9	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fluxus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides helcogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	29	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides heparinolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	132	22	48	31	8	3	52	21	18	32	108	35	95	121	14	18	0	101	0	207	5	41	0	30	0	0	2	0	0	15	124	3	15	9	0	39	0	0	19	2	26	2	101	0	2	2	1	1	1	6	0	10	6	0	0	20	56	19	33	160	22	0	3	2	137	81	2	0	15	84	1	13	0	0	0	5	13	1	1	0	0	178	0	6	0	0	13	1	9	0	0	0	8	0	16	0	0	0	55	0	5	1	0	3	1	37	6	361	0	43	4	0	510	11	6	0	8	0	118	0	122	21	4	59	2	1	1168	0	0	127	6	4	15	6	2	149	1	14	0	0	0	40	0	1	16	40	5	7	0	0	12	1	0	23	0	0	3	0	1	4	4	1	0	2	5	0	0	1	1	143	1	0	68	1	0	0	62	3	1	0	0	0	1	4	0	0	73	1	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides rodentium	0	0	1	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	3	2	0	1	0	0	0	0	0	0	0	1	5	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	6	0	2	0	0	17	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	5	8	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	98	3	52	5	3	0	4	0	0	12	1	0	1	68	2	20	65	44	20	1	52	28	131	15	146	0	75	203	43	35	16	4	0	39	0	1	36	14	38	0	77	107	208	15	22	3	63	40	0	80	46	13	0	22	34	6	3	0	203	0	1	31	11	9	14	32	0	25	36	13	2	73	6	16	11	9	0	87	150	35	22	19	20	1	27	47	43	0	10	5	37	18	21	37	11	90	0	3	5	25	35	46	87	73	6	0	9	13	74	3	63	36	8	34	113	12	9	3	10	4	1	1	123	9	7	199	8	5	0	32	1	4	6	8	0	30	1	0	0	1	0	1	0	95	32	3	0	6	3	0	122	149	1	0	17	2	9	47	1	30	0	1	72	113	130	6	6	56	165	0	0	4	0	0	7	24	17	4	0	0	19	5	23	1	7	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii;t__Bacteroides nordii WAL 11050 = JCM 12987	41	9	0	0	0	2	2	2	7	1	3	4	30	45	0	3	0	1	0	0	0	8	0	0	0	60	0	8	0	0	0	0	55	8	0	56	0	0	0	0	0	2	0	9	0	0	4	0	24	199	0	0	6	0	0	0	0	4	0	2	13	0	0	1	0	317	0	0	0	0	0	1	0	4	0	0	49	4	0	0	0	49	0	3	0	9	0	52	1	0	0	2	1	1	0	0	1	4	0	0	0	2	0	0	0	0	17	452	20	2	1	1	3	4	0	28	0	0	0	0	0	0	0	15	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	31	2	1	0	0	0	0	0	3	0	0	0	3	0	0	13	1	9	11	275	0	0	0	1	0	0	2	0	0	8	1	14	0	0	0	0	0	1	0	6	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides mediterraneensis	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	207	0	0	0	0	2	0	0	64	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	488	1	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides plebeius	0	0	0	0	1	0	2	0	0	38	1	0	0	0	0	1	0	31	0	20	0	3	0	0	0	0	33	0	0	0	0	1	0	4	0	2	0	0	2	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	2	4	0	0	0	2	0	11	0	0	0	3	0	2	0	14	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	18	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides plebeius;t__Bacteroides plebeius DSM 17135	0	0	0	0	33	0	81	0	0	427	0	0	4	0	0	16	0	566	0	341	1	90	10	18	0	0	642	0	9	2	0	37	0	87	0	67	0	0	11	1	1	1	0	0	70	0	310	0	0	0	0	1	2	0	0	0	0	0	0	168	7	4	0	0	1	6	49	38	24	0	1	5	0	123	0	5	0	32	0	14	0	194	0	1	19	0	6	0	22	0	0	8	12	0	7	0	0	0	0	0	0	0	0	15	0	12	3	3	0	0	127	0	0	67	0	0	92	0	0	2	0	0	0	33	0	1	0	0	12	0	0	3	21	1	0	0	0	2	0	0	0	0	176	0	0	0	11	0	0	0	9	0	0	1	0	0	0	0	0	0	0	1	44	13	0	62	0	0	0	0	0	0	25	0	0	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides reticulotermitis;t__Bacteroides reticulotermitis JCM 10512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	40	1	9	0	5	4	7	10	13	33	14	6	0	69	0	12	32	88	1	2	38	26	163	64	17	0	16	85	21	23	45	31	6	33	21	6	30	268	74	12	22	32	34	0	1	0	9	0	2	9	0	21	7	22	0	6	20	2	21	1	2	51	15	113	497	46	1	0	116	30	15	25	115	54	2	21	0	38	19	0	32	56	5	37	6	2	50	0	3	1	4	2	54	1	60	1	17	0	23	2	22	116	0	41	0	2	4	8	36	3	37	3	18	46	0	0	18	146	1	0	5	0	0	20	12	0	23	58	25	0	24	1	2	0	4	37	1	7	0	202	0	0	372	287	8	65	0	30	4	16	48	60	19	4	42	0	0	0	0	0	9	6	45	72	13	21	68	0	320	3	2	80	10	0	4	54	70	37	0	38	0	6	12	0	1	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides rodentium;t__Bacteroides rodentium JCM 16496	0	1	1	0	9	3	35	2	0	25	3	31	1	0	0	28	0	36	100	184	5	32	5	17	1	106	1	0	5	26	103	11	6	28	21	56	0	0	4	7	66	3	3	1	39	0	81	1	1	4	12	4	7	50	0	1	0	19	1	145	13	1	188	17	2	3	2	5	3	79	14	42	0	5	612	8	0	21	0	15	57	18	2	4	2	4	22	64	5	1	5	3	1	94	0	0	7	0	0	81	59	31	11	14	343	15	5	0	1	2	17	0	159	67	10	0	6	0	4	9	0	0	6	7	6	196	2	0	0	7	3	14	7	16	0	8	2	0	0	0	0	12	0	71	0	0	4	4	5	0	33	0	11	9	23	23	0	2	57	0	5	0	10	8	3	4	4	57	0	0	0	0	0	0	0	9	12	1	0	2	0	12	0	1	1	2	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris;t__Bacteroides stercoris ATCC 43183	0	1	93	4	10	0	0	11	78	3	1	57	0	0	0	6	19	16	0	0	2	1	70	2	0	0	17	0	0	10	0	74	9	12	160	8	1	9	37	12	0	0	0	0	0	0	4	0	8	1	0	22	0	0	0	0	1	15	0	0	2	13	33	0	1	11	0	0	14	0	15	32	7	1	0	28	0	123	0	0	0	6	70	1	17	0	25	0	0	6	40	14	8	19	0	0	156	0	0	34	0	4	0	1	0	1	3	3	3	3	29	0	0	5	0	0	5	323	0	11	0	0	0	3	32	0	0	1	0	0	3	2	3	24	0	0	0	0	0	351	0	0	0	14	4	0	0	24	0	0	10	29	35	0	2	0	1	0	15	0	0	0	150	2	0	0	0	0	507	3	0	13	0	0	7	5	21	2	0	1	2	1	0	0	0	5	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	0	0	2	0	1	0	0	2	4	0	0	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	2	0	1	1	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sartorii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sartorii;t__Bacteroides sartorii JCM 17136 = DSM 21941	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sartorii;t__Bacteroides sartorii JCM 16497	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
